Region,Thickness of Existing Concrete,Composite K,Thickness of CRCP Overlay,ID,max ESALs,Stress
1,30,100,10,13010010,54,3.34
2,30,100,10,23010010,58,3.28
3,30,100,10,33010010,60,3.26
1,30,100,15,13010015,72,3.11
2,30,100,15,23010015,78,3.05
3,30,100,15,33010015,82,3.01
1,30,100,20,13010020,182,2.47
2,30,100,20,23010020,197,2.42
3,30,100,20,33010020,207,2.39
1,30,500,10,13050010,56,3.31
2,30,500,10,23050010,60,3.26
3,30,500,10,33050010,62,3.23
1,30,500,15,13050015,74,3.09
2,30,500,15,23050015,80,3.03
3,30,500,15,33050015,84,2.99
1,30,500,20,13050020,185,2.46
2,30,500,20,23050020,200,2.41
3,30,500,20,33050020,210,2.38
1,30,1000,10,130100010,58,3.28
2,30,1000,10,230100010,62,3.23
3,30,1000,10,330100010,64,3.2
1,30,1000,15,130100015,76,3.07
2,30,1000,15,230100015,82,3.01
3,30,1000,15,330100015,86,2.98
1,30,1000,20,130100020,188,2.45
2,30,1000,20,230100020,203,2.4
3,30,1000,20,330100020,213,2.37
1,35,100,10,13510010,62,3.23
2,35,100,10,23510010,66,3.18
3,35,100,10,33510010,69,3.14
1,35,100,15,13510015,84,2.99
2,35,100,15,23510015,90,2.94
3,35,100,15,33510015,95,2.9
1,35,100,20,13510020,198,2.42
2,35,100,20,23510020,213,2.37
3,35,100,20,33510020,221,2.35
1,35,500,10,13550010,64,3.2
2,35,500,10,23550010,68,3.16
3,35,500,10,33550010,71,3.12
1,35,500,15,13550015,86,2.98
2,35,500,15,23550015,92,2.93
3,35,500,15,33550015,97,2.89
1,35,500,20,13550020,200,2.41
2,35,500,20,23550020,215,2.37
3,35,500,20,33550020,223,2.35
1,35,1000,10,135100010,66,3.18
2,35,1000,10,235100010,70,3.13
3,35,1000,10,335100010,73,3.1
1,35,1000,15,135100015,88,2.96
2,35,1000,15,235100015,94,2.91
3,35,1000,15,335100015,99,2.87
1,35,1000,20,135100020,202,2.4
2,35,1000,20,235100020,217,2.36
3,35,1000,20,335100020,225,2.34
1,25,100,10,12510010,47,3.46
2,25,100,10,22510010,51,3.39
3,25,100,10,32510010,54,3.34
1,25,100,15,12510015,62,3.23
2,25,100,15,22510015,68,3.16
3,25,100,15,32510015,72,3.11
1,25,100,20,12510020,169,2.51
2,25,100,20,22510020,184,2.46
3,25,100,20,32510020,192,2.44
1,25,500,10,12550010,49,3.43
2,25,500,10,22550010,53,3.36
3,25,500,10,32550010,56,3.31
1,25,500,15,12550015,64,3.2
2,25,500,15,22550015,70,3.13
3,25,500,15,32550015,74,3.09
1,25,500,20,12550020,171,2.51
2,25,500,20,22550020,186,2.45
3,25,500,20,32550020,194,2.43
1,25,1000,10,125100010,51,3.39
2,25,1000,10,225100010,55,3.33
3,25,1000,10,325100010,58,3.28
1,25,1000,15,125100015,66,3.18
2,25,1000,15,225100015,72,3.11
3,25,1000,15,325100015,76,3.07
1,25,1000,20,125100020,173,2.5
2,25,1000,20,225100020,188,2.45
3,25,1000,20,325100020,196,2.42
